name,ring,quadrant,isNew,description
3 amigo,Adopt,Techniques,FALSE,
smoke testing,Adopt,Techniques,FALSE,
e2e,Adopt,Techniques,FALSE,
regress,Adopt,Techniques,FALSE,
left shift testing,Adopt,Techniques,FALSE,
kanban,Adopt,Techniques,FALSE,
rigth shift testing,Adopt,Techniques,FALSE,
REST,Adopt,Platforms,FALSE,
SOAP,Adopt,Platforms,FALSE,
kotlin,Adopt,languages-and-frameworks,FALSE,
junit5,Adopt,languages-and-frameworks,FALSE,
java 11,Adopt,languages-and-frameworks,FALSE,
pl/sql dev,Adopt,languages-and-frameworks,FALSE,
sql,Adopt,languages-and-frameworks,FALSE,
allure,Adopt,languages-and-frameworks,FALSE,
assertj,Adopt,languages-and-frameworks,FALSE,
spring-jdbs,Adopt,languages-and-frameworks,FALSE,
maven,Adopt,languages-and-frameworks,FALSE,
Backend Aplication Platform,Adopt,languages-and-frameworks,FALSE,
docker,Adopt,Platforms,FALSE,
mq,Adopt,Platforms,FALSE,
jvm,Adopt,Platforms,FALSE,
rabbitmq,Adopt,Platforms,FALSE,
grafana,Adopt,Platforms,FALSE,
k8s,Adopt,Platforms,FALSE,
Java 17,Trial,languages-and-frameworks,FALSE,
soapui,Adopt,Tools,FALSE,
pgadmin,Adopt,Tools,FALSE,
pl/sql developer,Adopt,Tools,FALSE,
dbeaver,Adopt,Tools,FALSE,
swagger,Adopt,Tools,FALSE,
allure testops,Adopt,Tools,FALSE,
gitlab,Adopt,Tools,FALSE,
git,Adopt,Tools,FALSE,
kafka,Adopt,Tools,FALSE,
gitlab CI,Adopt,Tools,FALSE,
inversiaXXI,Adopt,Tools,FALSE,
atllasian,Adopt,Tools,FALSE,
sageui,Adopt,Tools,FALSE,
idea,Adopt,Tools,FALSE,
sping boot,Trial,languages-and-frameworks,FALSE,
gradle,Trial,languages-and-frameworks,FALSE,
testcontainers,Trial,languages-and-frameworks,FALSE,
